time,open,high,low,close,
03/10/2011 0:00,1.33267,1.33811,1.31639,1.32029,302105
04/10/2011 0:00,1.32031,1.33688,1.31481,1.33113,329927
05/10/2011 0:00,1.33114,1.33826,1.32769,1.3328,283575
06/10/2011 0:00,1.33279,1.34503,1.32418,1.34253,276021
07/10/2011 0:00,1.34249,1.35242,1.33625,1.33775,213611
09/10/2011 0:00,1.33855,1.34803,1.33775,1.34788,43232
10/10/2011 0:00,1.34788,1.36973,1.3456,1.3631,242764
11/10/2011 0:00,1.36309,1.36833,1.35655,1.3614,262069
12/10/2011 0:00,1.3614,1.38331,1.3614,1.37997,274769
13/10/2011 0:00,1.38,1.38255,1.36849,1.37719,275252
14/10/2011 0:00,1.37721,1.38935,1.37446,1.38808,201727
16/10/2011 0:00,1.38632,1.38869,1.38285,1.38479,41045
17/10/2011 0:00,1.38479,1.39139,1.3724,1.37739,268365
18/10/2011 0:00,1.37739,1.38156,1.36528,1.38111,288723
19/10/2011 0:00,1.3811,1.38686,1.37067,1.3715,275245
20/10/2011 0:00,1.37152,1.38389,1.3656,1.3777,293359
21/10/2011 0:00,1.37772,1.39006,1.37058,1.38944,211084
23/10/2011 0:00,1.38374,1.39064,1.38301,1.38896,49766
24/10/2011 0:00,1.38896,1.39561,1.38224,1.39066,244010
25/10/2011 0:00,1.39066,1.39592,1.38652,1.3919,252334
26/10/2011 0:00,1.39192,1.39934,1.37996,1.39782,279980
27/10/2011 0:00,1.39782,1.42465,1.3978,1.41732,274264
28/10/2011 0:00,1.41734,1.41977,1.41347,1.41449,194536
30/10/2011 0:00,1.4137,1.41695,1.39899,1.39902,63508
31/10/2011 0:00,1.39902,1.40534,1.381,1.38135,270820
01/11/2011 0:00,1.38137,1.38225,1.36087,1.37156,330554
02/11/2011 0:00,1.37156,1.38271,1.36649,1.36936,301422
03/11/2011 0:00,1.36936,1.38535,1.36564,1.38153,301818
04/11/2011 0:00,1.38151,1.38653,1.37129,1.37897,215507
06/11/2011 0:00,1.3827,1.38308,1.3754,1.37741,42253
07/11/2011 0:00,1.37741,1.38108,1.36808,1.3748,255778
08/11/2011 0:00,1.3748,1.38574,1.37243,1.38254,236529
09/11/2011 0:00,1.38254,1.38381,1.3514,1.35376,296546
10/11/2011 0:00,1.35374,1.36515,1.34835,1.3624,285364
11/11/2011 0:00,1.3624,1.37946,1.36021,1.3747,193464
13/11/2011 0:00,1.38057,1.38085,1.37544,1.37689,33346
14/11/2011 0:00,1.37689,1.37743,1.3591,1.35996,256632
15/11/2011 0:00,1.35997,1.36192,1.3437,1.34621,278487
16/11/2011 0:00,1.3463,1.35566,1.34216,1.34877,279323
17/11/2011 0:00,1.34881,1.35399,1.34365,1.3478,292513
18/11/2011 0:00,1.3478,1.36138,1.34667,1.35238,218441
20/11/2011 0:00,1.35098,1.35378,1.35051,1.35245,42133
21/11/2011 0:00,1.35243,1.35401,1.34313,1.34756,256337
22/11/2011 0:00,1.34756,1.35671,1.34519,1.34635,247727
23/11/2011 0:00,1.34635,1.34804,1.33201,1.33678,243328
24/11/2011 0:00,1.33676,1.34113,1.33031,1.33089,186836
25/11/2011 0:00,1.33091,1.33223,1.32129,1.32349,180118
27/11/2011 0:00,1.33212,1.33346,1.32765,1.3285,48638
28/11/2011 0:00,1.32852,1.33981,1.3275,1.33464,243085
29/11/2011 0:00,1.33465,1.34394,1.32942,1.33328,260989
30/11/2011 0:00,1.3333,1.353,1.32593,1.34663,254515
01/12/2011 0:00,1.34663,1.3521,1.34179,1.34572,212894
02/12/2011 0:00,1.3457,1.35357,1.33632,1.33915,173455
04/12/2011 0:00,1.34219,1.34243,1.33969,1.34052,22033
05/12/2011 0:00,1.34052,1.34856,1.3361,1.33724,203561
06/12/2011 0:00,1.33722,1.34266,1.33339,1.34202,212949
07/12/2011 0:00,1.34205,1.34533,1.33509,1.34055,209015
08/12/2011 0:00,1.34054,1.34561,1.32888,1.33358,226588
09/12/2011 0:00,1.33358,1.34328,1.32813,1.33848,179011
11/12/2011 0:00,1.33782,1.3381,1.33339,1.33353,31836
12/12/2011 0:00,1.33353,1.3357,1.31606,1.32008,226966
13/12/2011 0:00,1.3201,1.32363,1.30083,1.3034,256446
14/12/2011 0:00,1.3034,1.30638,1.29481,1.29879,260987
15/12/2011 0:00,1.29881,1.30496,1.29569,1.30371,239962
16/12/2011 0:00,1.30371,1.3084,1.29961,1.30443,196575
18/12/2011 0:00,1.30373,1.3042,1.29825,1.29942,36525
19/12/2011 0:00,1.29942,1.30407,1.29884,1.30042,233824
20/12/2011 0:00,1.30042,1.31315,1.30038,1.31124,244272
21/12/2011 0:00,1.31124,1.31893,1.30249,1.30427,251733
